state,margin,start_date,end_date,mid_date,pop,polling_org,affiliation
AK,-12.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
AZ,-2.0,2016-06-22,2016-06-23,2016-06-22,691,PPP,D
AZ,-2.0,2016-06-11,2016-06-20,2016-06-15,300,GQR,D
AZ,-9.0,2016-06-06,2016-06-19,2016-06-12,448,Behavior Research Center,
CO,6.0,2016-07-07,2016-07-09,2016-07-08,500,Harper,R
CO,8.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
FL,0.0,2016-06-25,2016-06-27,2016-06-26,1678,SurveyUSA,
FL,1.0,2016-06-15,2016-06-16,2016-06-15,508,PPP,D
FL,-7.0,2016-06-08,2016-06-19,2016-06-13,975,Quinnipiac,
IA,-1.0,2016-06-24,2016-06-28,2016-06-26,600,Loras College,
IA,-7.0,2016-06-22,2016-06-23,2016-06-22,897,PPP,D
IA,-8.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
IL,3.0,2016-03-30,2016-03-31,2016-03-30,600,GS Strategy Group,R
IL,6.0,2015-07-20,2015-07-21,2015-07-20,931,PPP,D
IL,17.0,2015-06-23,2015-06-23,2015-06-23,598,Ogden & Fry,
IN,14.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
LA,-8.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
MO,-7.0,2016-03-25,2016-03-26,2016-03-25,927,Remington Research Group,R
MO,-14.0,2016-03-17,2016-03-24,2016-03-20,674,DFM Research,D
MO,-5.0,2015-08-07,2015-08-09,2015-08-08,859,PPP,D
NC,-3.0,2016-06-20,2016-06-21,2016-06-20,947,PPP,D
NC,2.0,2016-06-11,2016-06-20,2016-06-15,300,GQR,D
NC,-2.0,2016-04-23,2016-04-25,2016-04-24,600,Civitas,R
NH,-9.0,2016-06-24,2016-06-28,2016-06-26,533,ARG,
NH,2.0,2016-06-22,2016-06-23,2016-06-22,578,PPP,D
NH,1.0,2016-06-11,2016-06-20,2016-06-15,300,GQR,D
NH,4.0,2016-06-15,2016-06-16,2016-06-15,400,Global Strategy Group,D
NV,-5.0,2016-06-11,2016-06-20,2016-06-15,300,GQR,D
NV,2.0,2016-05-24,2016-05-25,2016-05-24,1637,Gravis Marketing,
NV,0.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
OH,-1.0,2016-06-22,2016-06-23,2016-06-22,708,PPP,D
OH,3.0,2016-06-11,2016-06-20,2016-06-15,300,GQR,D
OH,0.0,2016-06-08,2016-06-19,2016-06-13,971,Quinnipiac,
PA,-1.0,2016-06-22,2016-06-23,2016-06-22,980,PPP,D
PA,-8.0,2016-06-11,2016-06-20,2016-06-15,300,GQR,D
PA,-9.0,2016-06-08,2016-06-19,2016-06-13,950,Quinnipiac,
WI,13.0,2016-06-22,2016-06-23,2016-06-22,843,PPP,D
WI,1.0,2016-06-11,2016-06-20,2016-06-15,300,GQR,D
WI,9.0,2016-06-09,2016-06-12,2016-06-10,666,Marquette Law School,
