state,margin,start_date,end_date,mid_date,pop,polling_org,affiliation
AK,-44.0,2016-08-27,2016-08-29,2016-08-28,500,Moore,R
AK,-12.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
AZ,0.0,2016-08-26,2016-08-28,2016-08-27,837,PPP,D
AZ,-13.0,2016-08-18,2016-08-23,2016-08-20,809,CNN,
AZ,-2.0,2016-06-11,2016-06-20,2016-06-15,300,GQR,D
CO,10.0,2016-08-29,2016-08-31,2016-08-30,500,Magellan,R
CO,16.0,2016-08-09,2016-08-16,2016-08-12,830,Quinnipiac,
CO,15.0,2016-08-04,2016-08-10,2016-08-07,899,NBC,
FL,-3.0,2016-08-22,2016-08-24,2016-08-23,625,Mason-Dixon,
FL,-1.0,2016-08-18,2016-08-24,2016-08-21,600,ICITIZEN,
FL,-8.0,2016-08-14,2016-08-18,2016-08-16,1380,Saint Leo University,
FL,-5.0,2016-08-12,2016-08-15,2016-08-13,402,Monmouth University,
FL,-2.0,2016-08-10,2016-08-10,2016-08-10,622,Opinion Savvy,
FL,-6.0,2016-08-04,2016-08-10,2016-08-07,862,NBC,
IA,-6.0,2016-08-30,2016-08-31,2016-08-30,827,PPP,D
IA,-7.0,2016-08-17,2016-08-19,2016-08-18,987,CBS,
IA,-9.0,2016-08-09,2016-08-16,2016-08-12,846,Quinnipiac,
IA,-10.0,2016-08-08,2016-08-10,2016-08-09,500,Suffolk,
IL,7.0,2016-08-01,2016-08-04,2016-08-02,800,"Normington, Petts & Associates",D
IL,3.0,2016-03-30,2016-03-31,2016-03-30,600,GS Strategy Group,R
IL,6.0,2015-07-20,2015-07-21,2015-07-20,931,PPP,D
IN,7.0,2016-08-13,2016-08-16,2016-08-14,403,Monmouth University,
IN,21.0,2016-07-12,2016-07-14,2016-07-13,602,Garin-Hart-Yang,D
IN,14.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
LA,-8.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
MO,-4.0,2016-08-26,2016-08-27,2016-08-26,1055,PPP,D
MO,-5.0,2016-08-19,2016-08-22,2016-08-20,401,Monmouth University,
MO,-4.0,2016-07-23,2016-07-24,2016-07-23,625,Mason-Dixon,
NC,1.0,2016-08-30,2016-09-02,2016-08-31,1088,CBS,
NC,-3.0,2016-08-26,2016-08-27,2016-08-26,1177,PPP,D
NC,-2.0,2016-08-20,2016-08-23,2016-08-21,401,Monmouth University,
NC,-5.0,2016-08-18,2016-08-23,2016-08-20,803,CNN,
NC,2.0,2016-08-04,2016-08-10,2016-08-07,921,NBC,
NH,3.0,2016-08-30,2016-08-31,2016-08-30,585,PPP,D
NH,2.0,2016-08-20,2016-08-28,2016-08-24,412,UNH,
NH,1.0,2016-08-10,2016-08-12,2016-08-11,990,CBS,
NV,0.0,2016-08-15,2016-08-17,2016-08-16,500,Suffolk,
NV,-3.0,2016-08-02,2016-08-05,2016-08-03,993,CBS,
NV,-1.0,2016-07-29,2016-07-31,2016-07-30,750,Rasmussen,
OH,-9.0,2016-08-26,2016-08-27,2016-08-26,1134,PPP,D
OH,-8.0,2016-08-18,2016-08-21,2016-08-19,402,Monmouth University,
OH,-7.0,2016-08-17,2016-08-19,2016-08-18,997,CBS,
PA,0.0,2016-08-30,2016-09-02,2016-08-31,1091,CBS,
PA,3.0,2016-08-30,2016-08-31,2016-08-30,814,PPP,D
PA,4.0,2016-08-26,2016-08-29,2016-08-27,402,Monmouth University,
PA,5.0,2016-08-25,2016-08-29,2016-08-27,496,Franklin and Marshall College,
WI,13.0,2016-08-27,2016-08-30,2016-08-28,404,Monmouth University,
WI,3.0,2016-08-25,2016-08-28,2016-08-26,650,Marquette Law School,
WI,7.0,2016-08-26,2016-08-27,2016-08-26,1054,PPP,D
