state,margin,start_date,end_date,mid_date,pop,polling_org,affiliation
AK,-12.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
AZ,-4.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
CO,8.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
FL,0.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
IA,-8.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
IL,4.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
IL,6,2015-07-20,2015-07-21,2015-07-20,931,PPP,D
IL,17,2015-06-23,2015-06-23,2015-06-23,598,Ogden & Fry,
IN,-8.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
LA,-8.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
MO,-4.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
NC,-7,2016-03-09,2016-03-10,2016-03-09,1576,SurveyUSA,
NC,-6,2016-02-14,2016-02-16,2016-02-15,1291,PPP,D
NC,-4.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
NH,0.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
NV,0.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
OH,1,2016-03-04,2016-03-06,2016-03-05,1248,PPP,D
OH,2,2016-02-16,2016-02-20,2016-02-18,1539,Quinnipiac,
OH,-4,2016-02-11,2016-02-20,2016-02-15,825,Baldwin Wallace University,
PA,0.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
WI,7,2016-03-28,2016-03-29,2016-03-28,1397,PPP,D
WI,9,2016-03-28,2016-03-29,2016-03-28,1000,Loras College,
WI,3,2016-03-24,2016-03-28,2016-03-26,957,Marquette Law School,
